2000741	20260128	202601	2026	2026.076712	CIVJP	Civilians	JP					CIV			GOVJP	Government	JP					GOV			1	1413	141	14	1	-0.9	11	24	47	1.58	3	Nagoya, Aichi, Japan	JP	JP-23		35.1815	136.9066	JP-935750	3	Nagoya, Aichi, Japan	JP	JP-23		35.1815	3	Nagoya, Aichi, Japan	JP	JP-23	35.1815	136.9066	JP-3169632	20260128	https://example.com/jp/20260128/2000741
2000624	20260128	202601	2026	2026.076712	CIVIR	Civilians	IR					CIV			GOVIR	Government	IR					GOV			1	141	141	14	4	-7.2	35	24	27	0.52	3	Tehran, Tehran, Iran	IR	IR-23		35.6892	51.389	IR-493774	3	Tehran, Tehran, Iran	IR	IR-23		35.6892	3	Tehran, Tehran, Iran	IR	IR-23	35.6892	51.389	IR-4702106	20260128	https://example.com/ir/20260128/2000624
2000645	20260128	202601	2026	2026.076712	CIVFR	Civilians	FR					CIV			GOVFR	Government	FR					GOV			1	1411	141	14	4	-2.7	73	10	12	1.3	3	Paris, Ile-de-France, France	FR	FR-IDF		48.8566	2.3522	FR-980103	3	Paris, Ile-de-France, France	FR	FR-IDF		48.8566	3	Paris, Ile-de-France, France	FR	FR-IDF	48.8566	2.3522	FR-3575047	20260128	https://example.com/fr/20260128/2000645
2000699	20260128	202601	2026	2026.076712	CIVIN	Civilians	IN					CIV			GOVIN	Government	IN					GOV			1	1413	141	14	3	-1.2	59	7	23	-0.03	3	Bengaluru, Karnataka, India	IN	IN-KA		12.9716	77.5946	IN-783185	3	Bengaluru, Karnataka, India	IN	IN-KA		12.9716	3	Bengaluru, Karnataka, India	IN	IN-KA	12.9716	77.5946	IN-6064152	20260128	https://example.com/in/20260128/2000699
2000649	20260128	202601	2026	2026.076712	CIVFR	Civilians	FR					CIV			GOVFR	Government	FR					GOV			1	1412	141	14	4	-2.6	42	16	19	1.27	3	Paris, Ile-de-France, France	FR	FR-IDF		48.8566	2.3522	FR-890795	3	Paris, Ile-de-France, France	FR	FR-IDF		48.8566	3	Paris, Ile-de-France, France	FR	FR-IDF	48.8566	2.3522	FR-3467651	20260128	https://example.com/fr/20260128/2000649
2000658	20260128	202601	2026	2026.076712	CIVFR	Civilians	FR					CIV			GOVFR	Government	FR					GOV			1	1411	141	14	3	-4.0	30	6	25	-3.83	3	Lyon, Auvergne-Rhone-Alpes, France	FR	FR-ARA		45.764	4.8357	FR-614416	3	Lyon, Auvergne-Rhone-Alpes, France	FR	FR-ARA		45.764	3	Lyon, Auvergne-Rhone-Alpes, France	FR	FR-ARA	45.764	4.8357	FR-1708550	20260128	https://example.com/fr/20260128/2000658
2000665	20260128	202601	2026	2026.076712	CIVMX	Civilians	MX					CIV			GOVMX	Government	MX					GOV			1	1412	141	14	3	-4.0	23	1	9	-2.11	3	Guadalajara, Jalisco, Mexico	MX	MX-JAL		20.6597	-103.3496	MX-491133	3	Guadalajara, Jalisco, Mexico	MX	MX-JAL		20.6597	3	Guadalajara, Jalisco, Mexico	MX	MX-JAL	20.6597	-103.3496	MX-9135255	20260128	https://example.com/mx/20260128/2000665
2000610	20260128	202601	2026	2026.076712	CIVIR	Civilians	IR					CIV			GOVIR	Government	IR					GOV			1	1411	141	14	4	-6.9	71	15	44	0.53	3	Tehran, Tehran, Iran	IR	IR-23		35.6892	51.389	IR-662625	3	Tehran, Tehran, Iran	IR	IR-23		35.6892	3	Tehran, Tehran, Iran	IR	IR-23	35.6892	51.389	IR-3499027	20260128	https://example.com/ir/20260128/2000610
2000606	20260128	202601	2026	2026.076712	CIVIR	Civilians	IR					CIV			GOVIR	Government	IR					GOV			1	1412	141	14	3	-6.4	15	15	49	-0.25	3	Isfahan, Isfahan, Iran	IR	IR-04		32.6546	51.668	IR-779259	3	Isfahan, Isfahan, Iran	IR	IR-04		32.6546	3	Isfahan, Isfahan, Iran	IR	IR-04	32.6546	51.668	IR-4407796	20260128	https://example.com/ir/20260128/2000606
2000608	20260128	202601	2026	2026.076712	CIVIR	Civilians	IR					CIV			GOVIR	Government	IR					GOV			1	1411	141	14	3	-5.6	9	7	2	-0.6	3	Mashhad, Razavi Khorasan, Iran	IR	IR-30		36.2605	59.6168	IR-721748	3	Mashhad, Razavi Khorasan, Iran	IR	IR-30		36.2605	3	Mashhad, Razavi Khorasan, Iran	IR	IR-30	36.2605	59.6168	IR-5001116	20260128	https://example.com/ir/20260128/2000608
